Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,name,ID,Index
P29597,P29597,TYK2_HUMAN,TYK2,Non-receptor tyrosine-protein kinase TYK2,TYK2,P29597,P29597
P29622,P29622,KAIN_HUMAN,SERPINA4,Kallistatin,SERPINA4,P29622,P29622
P29692-2,P29692-2,EF1D_HUMAN,EEF1D,Isoform 2 of Elongation factor 1-delta,EEF1D,P29692-2,P29692-2
P29728;P29728-2,P29728;P29728-2,OAS2_HUMAN,OAS2,2'-5'-oligoadenylate synthase 2,OAS2,P29728;P29728-2,P29728;P29728-2
P29762,P29762,RABP1_HUMAN,CRABP1,Cellular retinoic acid-binding protein 1,CRABP1,P29762,P29762
P29966,P29966,MARCS_HUMAN,MARCKS,Myristoylated alanine-rich C-kinase substrate,MARCKS,P29966,P29966
P29972;P29972-2;P29972-3;P29972-4,P29972;P29972-2;P29972-3;P29972-4,AQP1_HUMAN,AQP1,Aquaporin-1,AQP1,P29972;P29972-2;P29972-3;P29972-4,P29972;P29972-2;P29972-3;P29972-4
P29992,P29992,GNA11_HUMAN,GNA11,Guanine nucleotide-binding protein subunit alpha-11,GNA11,P29992,P29992
P30038,P30038;P30038-2;P30038-3,AL4A1_HUMAN,ALDH4A1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",ALDH4A1,P30038,P30038
P30039;P30039-2,P30039;P30039-2,PBLD_HUMAN,PBLD,Phenazine biosynthesis-like domain-containing protein,PBLD,P30039;P30039-2,P30039;P30039-2
P30040,P30040,ERP29_HUMAN,ERP29,Endoplasmic reticulum resident protein 29,ERP29,P30040,P30040
P30041,P30041,PRDX6_HUMAN,PRDX6,Peroxiredoxin-6,PRDX6,P30041,P30041
P30043,P30043,BLVRB_HUMAN,BLVRB,Flavin reductase (NADPH),BLVRB,P30043,P30043
P30044;P30044-2,P30044;P30044-2;P30044-3,PRDX5_HUMAN,PRDX5,"Peroxiredoxin-5, mitochondrial",PRDX5,P30044;P30044-2,P30044;P30044-2
P30046,P30046;A6NHG4;P30046-2,DOPD_HUMAN,DDT,D-dopachrome decarboxylase,DDT,P30046,P30046
P30047;P30047-2,P30047;P30047-2,GFRP_HUMAN,GCHFR,GTP cyclohydrolase 1 feedback regulatory protein,GCHFR,P30047;P30047-2,P30047;P30047-2
P30048;P30048-2,P30048;P30048-2,PRDX3_HUMAN,PRDX3,"Thioredoxin-dependent peroxide reductase, mitochondrial",PRDX3,P30048;P30048-2,P30048;P30048-2
P30049,P30049,ATPD_HUMAN,ATP5F1D,"ATP synthase subunit delta, mitochondrial",ATP5F1D,P30049,P30049
P30050,P30050,RL12_HUMAN,RPL12,60S ribosomal protein L12,RPL12,P30050,P30050
P30084,P30084,ECHM_HUMAN,ECHS1,"Enoyl-CoA hydratase, mitochondrial",ECHS1,P30084,P30084
P30085,P30085;P30085-3,KCY_HUMAN,CMPK1,UMP-CMP kinase,CMPK1,P30085,P30085
P30086,P30086,PEBP1_HUMAN,PEBP1,Phosphatidylethanolamine-binding protein 1,PEBP1,P30086,P30086
P30101,P30101,PDIA3_HUMAN,PDIA3,Protein disulfide-isomerase A3,PDIA3,P30101,P30101
P30153,P30153,2AAA_HUMAN,PPP2R1A,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,PPP2R1A,P30153,P30153
P30154-5,P30154;P30154-2;P30154-3;P30154-4;P30154-5,2AAB_HUMAN,PPP2R1B,Isoform 5 of Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform,PPP2R1B,P30154-5,P30154-5
P30203;P30203-2;P30203-3;P30203-4;P30203-5,P30203;P30203-2;P30203-3;P30203-4;P30203-5;P30203-6;P30203-7,CD6_HUMAN,CD6,T-cell differentiation antigen CD6,CD6,P30203;P30203-2;P30203-3;P30203-4;P30203-5,P30203;P30203-2;P30203-3;P30203-4;P30203-5
P30273,P30273,FCERG_HUMAN,FCER1G,High affinity immunoglobulin epsilon receptor subunit gamma,FCER1G,P30273,P30273
P30405;P30405-2,P30405;P30405-2,PPIF_HUMAN,PPIF,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",PPIF,P30405;P30405-2,P30405;P30405-2
P30414,P30414,NKTR_HUMAN,NKTR,NK-tumor recognition protein,NKTR,P30414,P30414
P30419,P30419;P30419-2,NMT1_HUMAN,NMT1,Glycylpeptide N-tetradecanoyltransferase 1,NMT1,P30419,P30419
P30511;P30511-2;P30511-3,P30511;P30511-2;P30511-3,HLAF_HUMAN,HLA-F,"HLA class I histocompatibility antigen, alpha chain F",HLA-F,P30511;P30511-2;P30511-3,P30511;P30511-2;P30511-3
P30519;P30519-2,P30519;P30519-2,HMOX2_HUMAN,HMOX2,Heme oxygenase 2,HMOX2,P30519;P30519-2,P30519;P30519-2
P30520,P30520;Q8N142,PURA2_HUMAN,ADSS2,Adenylosuccinate synthetase isozyme 2,ADSS2,P30520,P30520
P30530;P30530-2,P30530;P30530-2,UFO_HUMAN,AXL,Tyrosine-protein kinase receptor UFO,AXL,P30530;P30530-2,P30530;P30530-2
P30533,P30533,AMRP_HUMAN,LRPAP1,Alpha-2-macroglobulin receptor-associated protein,LRPAP1,P30533,P30533
P30566,P30566,PUR8_HUMAN,ADSL,Adenylosuccinate lyase,ADSL,P30566,P30566
P30622;P30622-1;P30622-2,P30622;P30622-1;P30622-2,CLIP1_HUMAN,CLIP1,CAP-Gly domain-containing linker protein 1,CLIP1,P30622;P30622-1;P30622-2,P30622;P30622-1;P30622-2
P30626;P30626-2;P30626-3,P30626;P30626-2;P30626-3,SORCN_HUMAN,SRI,Sorcin,SRI,P30626;P30626-2;P30626-3,P30626;P30626-2;P30626-3
P30711;P30711-2,P30711;P30711-2,GSTT1_HUMAN,GSTT1,Glutathione S-transferase theta-1,GSTT1,P30711;P30711-2,P30711;P30711-2
P30740,P30740,ILEU_HUMAN,SERPINB1,Leukocyte elastase inhibitor,SERPINB1,P30740,P30740
P30837,P30837,AL1B1_HUMAN,ALDH1B1,"Aldehyde dehydrogenase X, mitochondrial",ALDH1B1,P30837,P30837
P30876,P30876,RPB2_HUMAN,POLR2B,DNA-directed RNA polymerase II subunit RPB2,POLR2B,P30876,P30876
P30990,P30990,NEUT_HUMAN,NTS,Neurotensin/neuromedin N,NTS,P30990,P30990
P31040,P31040,SDHA_HUMAN,SDHA,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",SDHA,P31040,P31040
P31146,P31146,COR1A_HUMAN,CORO1A,Coronin-1A,CORO1A,P31146,P31146
P31150,P31150,GDIA_HUMAN,GDI1,Rab GDP dissociation inhibitor alpha,GDI1,P31150,P31150
P31153,P31153;P31153-2,METK2_HUMAN,MAT2A,S-adenosylmethionine synthase isoform type-2,MAT2A,P31153,P31153
P31323,P31323,KAP3_HUMAN,PRKAR2B,cAMP-dependent protein kinase type II-beta regulatory subunit,PRKAR2B,P31323,P31323
P31350;P31350-2,P31350;P31350-2,RIR2_HUMAN,RRM2,Ribonucleoside-diphosphate reductase subunit M2,RRM2,P31350;P31350-2,P31350;P31350-2
P31431;P31431-2,P31431;P31431-2,SDC4_HUMAN,SDC4,Syndecan-4,SDC4,P31431;P31431-2,P31431;P31431-2
P31483,P31483;P31483-2;P31483-3,TIA1_HUMAN,TIA1,Cytotoxic granule associated RNA binding protein TIA1,TIA1,P31483,P31483
P31689,P31689;P31689-2,DNJA1_HUMAN,DNAJA1,DnaJ homolog subfamily A member 1,DNAJA1,P31689,P31689
P31749,P31749;P31749-2,AKT1_HUMAN,AKT1,RAC-alpha serine/threonine-protein kinase,AKT1,P31749,P31749
P31751;P31751-2,P31751;P31751-2,AKT2_HUMAN,AKT2,RAC-beta serine/threonine-protein kinase,AKT2,P31751;P31751-2,P31751;P31751-2
P31930,P31930,QCR1_HUMAN,UQCRC1,"Cytochrome b-c1 complex subunit 1, mitochondrial",UQCRC1,P31930,P31930
P31937,P31937,3HIDH_HUMAN,HIBADH,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",HIBADH,P31937,P31937
P31939,P31939;P31939-2,PUR9_HUMAN,ATIC,Bifunctional purine biosynthesis protein ATIC,ATIC,P31939,P31939
P31942;P31942-2,P31942;P31942-2;P31942-3;P31942-4;P31942-5;P31942-6,HNRH3_HUMAN,HNRNPH3,Heterogeneous nuclear ribonucleoprotein H3,HNRNPH3,P31942;P31942-2,P31942;P31942-2
P31943,P31943,HNRH1_HUMAN,HNRNPH1,Heterogeneous nuclear ribonucleoprotein H,HNRNPH1,P31943,P31943
P31946-2,P31946;P31946-2,1433B_HUMAN,YWHAB,Isoform Short of 14-3-3 protein beta/alpha,YWHAB,P31946-2,P31946-2
P31947;P31947-2,P31947;P31947-2,1433S_HUMAN,SFN,14-3-3 protein sigma,SFN,P31947;P31947-2,P31947;P31947-2
P31948,P31948;P31948-2,STIP1_HUMAN,STIP1,Stress-induced-phosphoprotein 1,STIP1,P31948,P31948
P31949,P31949,S10AB_HUMAN,S100A11,Protein S100-A11,S100A11,P31949,P31949
P32019,P32019;P32019-2;P32019-3,I5P2_HUMAN,INPP5B,"Type II inositol 1,4,5-trisphosphate 5-phosphatase",INPP5B,P32019,P32019
P32119,P32119,PRDX2_HUMAN,PRDX2,Peroxiredoxin-2,PRDX2,P32119,P32119
P32121;P32121-2;P32121-3;P32121-4;P32121-5,P32121;P32121-2;P32121-3;P32121-4;P32121-5,ARRB2_HUMAN,ARRB2,Beta-arrestin-2,ARRB2,P32121;P32121-2;P32121-3;P32121-4;P32121-5,P32121;P32121-2;P32121-3;P32121-4;P32121-5
P32189;P32189-1;P32189-2;P32189-4;Q14409,P32189;Q14409;P32189-1;P32189-2;P32189-4,GLPK3_HUMAN;GLPK_HUMAN,GK;GK3,Glycerol kinase,GK;GK3,P32189;P32189-1;P32189-2;P32189-4;Q14409,P32189;P32189-1;P32189-2;P32189-4;Q14409
P32298;P32298-2;P32298-3;P32298-4,P32298;P32298-2;P32298-3;P32298-4,GRK4_HUMAN,GRK4,G protein-coupled receptor kinase 4,GRK4,P32298;P32298-2;P32298-3;P32298-4,P32298;P32298-2;P32298-3;P32298-4
P32321;P32321-2,P32321;P32321-2,DCTD_HUMAN,DCTD,Deoxycytidylate deaminase,DCTD,P32321;P32321-2,P32321;P32321-2
P32322;P32322-3,P32322;P32322-2;P32322-3,P5CR1_HUMAN,PYCR1,"Pyrroline-5-carboxylate reductase 1, mitochondrial",PYCR1,P32322;P32322-3,P32322;P32322-3
P32455,P32455;P32456,GBP1_HUMAN,GBP1,Guanylate-binding protein 1,GBP1,P32455,P32455
P32456,P32456,GBP2_HUMAN,GBP2,Guanylate-binding protein 2,GBP2,P32456,P32456
P32519;P32519-2,P32519;P32519-2,ELF1_HUMAN,ELF1,ETS-related transcription factor Elf-1,ELF1,P32519;P32519-2,P32519;P32519-2
P32929;P32929-2;P32929-3,P32929;P32929-2;P32929-3,CGL_HUMAN,CTH,Cystathionine gamma-lyase,CTH,P32929;P32929-2;P32929-3,P32929;P32929-2;P32929-3
P32942,P32942,ICAM3_HUMAN,ICAM3,Intercellular adhesion molecule 3,ICAM3,P32942,P32942
P32969,P32969,RL9_HUMAN,RPL9,60S ribosomal protein L9,RPL9,P32969,P32969
P33121-3,P33121;P33121-2;P33121-3,ACSL1_HUMAN,ACSL1,Isoform 3 of Long-chain-fatty-acid--CoA ligase 1,ACSL1,P33121-3,P33121-3
P33151,P33151;P33151-2,CADH5_HUMAN,CDH5,Cadherin-5,CDH5,P33151,P33151
P33176,P33176,KINH_HUMAN,KIF5B,Kinesin-1 heavy chain,KIF5B,P33176,P33176
P33240;P33240-2,P33240;Q9H0L4;P33240-2,CSTF2_HUMAN,CSTF2,Cleavage stimulation factor subunit 2,CSTF2,P33240;P33240-2,P33240;P33240-2
P33241;P33241-3,P33241;P33241-2;P33241-3,LSP1_HUMAN,LSP1,Lymphocyte-specific protein 1,LSP1,P33241;P33241-3,P33241;P33241-3
P33316,P33316;P33316-2,DUT_HUMAN,DUT,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial",DUT,P33316,P33316
P33527;P33527-2;P33527-4;P33527-6;P33527-9,P33527;P33527-2;P33527-3;P33527-4;P33527-5;P33527-6;P33527-7;P33527-8;P33527-9,MRP1_HUMAN,ABCC1,Multidrug resistance-associated protein 1,ABCC1,P33527;P33527-2;P33527-4;P33527-6;P33527-9,P33527;P33527-2;P33527-4;P33527-6;P33527-9
P33897,P33897,ABCD1_HUMAN,ABCD1,ATP-binding cassette sub-family D member 1,ABCD1,P33897,P33897
P33908,P33908;P33908-2,MA1A1_HUMAN,MAN1A1,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",MAN1A1,P33908,P33908
P33991,P33991,MCM4_HUMAN,MCM4,DNA replication licensing factor MCM4,MCM4,P33991,P33991
P33992,P33992,MCM5_HUMAN,MCM5,DNA replication licensing factor MCM5,MCM5,P33992,P33992
P33993,P33993;P33993-3,MCM7_HUMAN,MCM7,DNA replication licensing factor MCM7,MCM7,P33993,P33993
P34059,P34059,GALNS_HUMAN,GALNS,N-acetylgalactosamine-6-sulfatase,GALNS,P34059,P34059
P34096,P34096,RNAS4_HUMAN,RNASE4,Ribonuclease 4,RNASE4,P34096,P34096
P34741,P34741,SDC2_HUMAN,SDC2,Syndecan-2,SDC2,P34741,P34741
P34896;P34896-2,P34896;P34896-2;P34896-3,GLYC_HUMAN,SHMT1,"Serine hydroxymethyltransferase, cytosolic",SHMT1,P34896;P34896-2,P34896;P34896-2
P34897;P34897-3,P34897;P34897-2;P34897-3,GLYM_HUMAN,SHMT2,"Serine hydroxymethyltransferase, mitochondrial",SHMT2,P34897;P34897-3,P34897;P34897-3
P34910;P34910-2,P34910;P34910-2,EVI2B_HUMAN,EVI2B,Protein EVI2B,EVI2B,P34910;P34910-2,P34910;P34910-2
P34913,P34913;P34913-2;P34913-3,HYES_HUMAN,EPHX2,Bifunctional epoxide hydrolase 2,EPHX2,P34913,P34913
P34932,P34932,HSP74_HUMAN,HSPA4,Heat shock 70 kDa protein 4,HSPA4,P34932,P34932
P34947,P34947,GRK5_HUMAN,GRK5,G protein-coupled receptor kinase 5,GRK5,P34947,P34947
P34949,P34949,MPI_HUMAN,MPI,Mannose-6-phosphate isomerase,MPI,P34949,P34949
P35030;P35030-2;P35030-3;P35030-4;P35030-5,P35030;P35030-2;P35030-3;P35030-4;P35030-5,TRY3_HUMAN,PRSS3,Trypsin-3,PRSS3,P35030;P35030-2;P35030-3;P35030-4;P35030-5,P35030;P35030-2;P35030-3;P35030-4;P35030-5
P35052,P35052,GPC1_HUMAN,GPC1,Glypican-1,GPC1,P35052,P35052
P35080,P35080,PROF2_HUMAN,PFN2,Profilin-2,PFN2,P35080,P35080
P35080-2,P35080;P35080-2,PROF2_HUMAN,PFN2,Isoform IIb of Profilin-2,PFN2.1,P35080-2,P35080-2
P35219,P35219,CAH8_HUMAN,CA8,Carbonic anhydrase-related protein,CA8,P35219,P35219
P35221;P35221-2,P26232;P35221;P26232-2;P26232-3;P26232-4;P26232-5;P26232-6;P35221-2;P35221-3,CTNA1_HUMAN,CTNNA1,Catenin alpha-1,CTNNA1,P35221;P35221-2,P35221;P35221-2
P35222,P35222,CTNB1_HUMAN,CTNNB1,Catenin beta-1,CTNNB1,P35222,P35222
P35226,P35226,BMI1_HUMAN,BMI1,Polycomb complex protein BMI-1,BMI1,P35226,P35226
P35232,P35232;P35232-2,PHB1_HUMAN,PHB1,Prohibitin 1,PHB1,P35232,P35232
P35236;P35236-2;P35236-3,P35236;P35236-2;P35236-3,PTN7_HUMAN,PTPN7,Tyrosine-protein phosphatase non-receptor type 7,PTPN7,P35236;P35236-2;P35236-3,P35236;P35236-2;P35236-3
P35237,P35237,SPB6_HUMAN,SERPINB6,Serpin B6,SERPINB6,P35237,P35237
P35240;P35240-2;P35240-3;P35240-4;P35240-5;P35240-6;P35240-8,P35240;P35240-4;P35240-2;P35240-3;P35240-5;P35240-6;P35240-8,MERL_HUMAN,NF2,Merlin,NF2,P35240;P35240-2;P35240-3;P35240-4;P35240-5;P35240-6;P35240-8,P35240;P35240-2;P35240-3;P35240-4;P35240-5;P35240-6;P35240-8
P35241,P35241;P35241-4,RADI_HUMAN,RDX,Radixin,RDX,P35241,P35241
P35244,P35244,RFA3_HUMAN,RPA3,Replication protein A 14 kDa subunit,RPA3,P35244,P35244
P35249,P35249;P35249-2,RFC4_HUMAN,RFC4,Replication factor C subunit 4,RFC4,P35249,P35249
P35250;P35250-2,P35250;P35250-2,RFC2_HUMAN,RFC2,Replication factor C subunit 2,RFC2,P35250;P35250-2,P35250;P35250-2
P35251;P35251-2,P35251;P35251-2,RFC1_HUMAN,RFC1,Replication factor C subunit 1,RFC1,P35251;P35251-2,P35251;P35251-2
P35268,P35268,RL22_HUMAN,RPL22,60S ribosomal protein L22,RPL22,P35268,P35268
P35269,P35269,T2FA_HUMAN,GTF2F1,General transcription factor IIF subunit 1,GTF2F1,P35269,P35269
P35270,P35270,SPRE_HUMAN,SPR,Sepiapterin reductase,SPR,P35270,P35270
P35442,P35442,TSP2_HUMAN,THBS2,Thrombospondin-2,THBS2,P35442,P35442
P35443,P35443,TSP4_HUMAN,THBS4,Thrombospondin-4,THBS4,P35443,P35443
P35475,P35475,IDUA_HUMAN,IDUA,Alpha-L-iduronidase,IDUA,P35475,P35475
P35527,P35527,K1C9_HUMAN,KRT9,"Keratin, type I cytoskeletal 9",KRT9,P35527,P35527
P35542,P35542,SAA4_HUMAN,SAA4,Serum amyloid A-4 protein,SAA4,P35542,P35542
P35555,P35555,FBN1_HUMAN,FBN1,Fibrillin-1,FBN1,P35555,P35555
P35568,P35568,IRS1_HUMAN,IRS1,Insulin receptor substrate 1,IRS1,P35568,P35568
P35573,P35573;P35573-2;P35573-3,GDE_HUMAN,AGL,Glycogen debranching enzyme,AGL,P35573,P35573
P35579,P35579;P35579-2,MYH9_HUMAN,MYH9,Myosin-9,MYH9,P35579,P35579
P35580,P35580;Q7Z406;P35580-2;P35580-3;P35580-4;P35580-5;Q7Z406-2;Q7Z406-4;Q7Z406-5;Q7Z406-6,MYH10_HUMAN,MYH10,Myosin-10,MYH10,P35580,P35580
P35606;P35606-2,P35606;P35606-2,COPB2_HUMAN,COPB2,Coatomer subunit beta',COPB2,P35606;P35606-2,P35606;P35606-2
P35609;P35609-2,P35609;Q08043;P35609-2,ACTN2_HUMAN,ACTN2,Alpha-actinin-2,ACTN2,P35609;P35609-2,P35609;P35609-2
P35611;P35611-2;P35611-3;P35611-6,P35611;P35611-2;P35611-3;P35611-4;P35611-5;P35611-6,ADDA_HUMAN,ADD1,Alpha-adducin,ADD1,P35611;P35611-2;P35611-3;P35611-6,P35611;P35611-2;P35611-3;P35611-6
P35612,P35612;P35612-2;P35612-3;P35612-4;P35612-5;P35612-6;P35612-8;P35612-9,ADDB_HUMAN,ADD2,Beta-adducin,ADD2,P35612,P35612
P35613;P35613-2,P35613;P35613-2;P35613-3;P35613-4,BASI_HUMAN,BSG,Basigin,BSG,P35613;P35613-2,P35613;P35613-2
P35625,P35625,TIMP3_HUMAN,TIMP3,Metalloproteinase inhibitor 3,TIMP3,P35625,P35625
P35637;P35637-2,P35637;P35637-2,FUS_HUMAN,FUS,RNA-binding protein FUS,FUS,P35637;P35637-2,P35637;P35637-2
P35658;P35658-2,P35658;P35658-2;P35658-3;P35658-4;P35658-5,NU214_HUMAN,NUP214,Nuclear pore complex protein Nup214,NUP214,P35658;P35658-2,P35658;P35658-2
P35659,P35659;P35659-2,DEK_HUMAN,DEK,Protein DEK,DEK,P35659,P35659
P35670;P35670-2;P35670-3;P35670-4,P35670;P35670-2;P35670-3;P35670-4;P35670-5,ATP7B_HUMAN,ATP7B,Copper-transporting ATPase 2,ATP7B,P35670;P35670-2;P35670-3;P35670-4,P35670;P35670-2;P35670-3;P35670-4
P35749,P35749;P35749-2;P35749-3;P35749-4,MYH11_HUMAN,MYH11,Myosin-11,MYH11,P35749,P35749
P35749-3,P35749-3;P35749-4,MYH11_HUMAN,MYH11,Isoform 3 of Myosin-11,MYH11.1,P35749-3,P35749-3
P35754,P35754,GLRX1_HUMAN,GLRX,Glutaredoxin-1,GLRX,P35754,P35754
P35813;P35813-3,O75688;P35813;O75688-2;O75688-4;O75688-5;P35813-2;P35813-3,PPM1A_HUMAN,PPM1A,Protein phosphatase 1A,PPM1A,P35813;P35813-3,P35813;P35813-3
P35858;P35858-2,P35858;P35858-2,ALS_HUMAN,IGFALS,Insulin-like growth factor-binding protein complex acid labile subunit,IGFALS,P35858;P35858-2,P35858;P35858-2
P35908,P35908,K22E_HUMAN,KRT2,"Keratin, type II cytoskeletal 2 epidermal",KRT2,P35908,P35908
P35914,P35914;P35914-2;P35914-3,HMGCL_HUMAN,HMGCL,"Hydroxymethylglutaryl-CoA lyase, mitochondrial",HMGCL,P35914,P35914
P35998,P35998;P35998-2,PRS7_HUMAN,PSMC2,26S proteasome regulatory subunit 7,PSMC2,P35998,P35998
P36021,P36021,MOT8_HUMAN,SLC16A2,Monocarboxylate transporter 8,SLC16A2,P36021,P36021
P36269;P36269-2;P36269-3,P36269;P36269-2;P36269-3,GGT5_HUMAN,GGT5,Glutathione hydrolase 5 proenzyme,GGT5,P36269;P36269-2;P36269-3,P36269;P36269-2;P36269-3
P36402-5;P36402-6,P36402;P36402-10;P36402-11;P36402-12;P36402-13;P36402-14;P36402-15;P36402-16;P36402-3;P36402-4;P36402-5;P36402-6;P36402-7;P36402-8;P36402-9;P36402-2,TCF7_HUMAN,TCF7,Isoform 2L of Transcription factor 7,TCF7,P36402-5;P36402-6,P36402-5;P36402-6
P36404,P36404,ARL2_HUMAN,ARL2,ADP-ribosylation factor-like protein 2,ARL2,P36404,P36404
P36405,P36405,ARL3_HUMAN,ARL3,ADP-ribosylation factor-like protein 3,ARL3,P36405,P36405
P36507,P36507,MP2K2_HUMAN,MAP2K2,Dual specificity mitogen-activated protein kinase kinase 2,MAP2K2,P36507,P36507
P36542,P36542;P36542-2,ATPG_HUMAN,ATP5F1C,"ATP synthase subunit gamma, mitochondrial",ATP5F1C,P36542,P36542
P36543,P36543;P36543-2;P36543-3,VATE1_HUMAN,ATP6V1E1,V-type proton ATPase subunit E 1,ATP6V1E1,P36543,P36543
P36551,P36551,HEM6_HUMAN,CPOX,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",CPOX,P36551,P36551
P36578,P36578,RL4_HUMAN,RPL4,60S ribosomal protein L4,RPL4,P36578,P36578
P36639;P36639-1;P36639-2;P36639-3,P36639;P36639-1;P36639-2;P36639-3,8ODP_HUMAN,NUDT1,Oxidized purine nucleoside triphosphate hydrolase,NUDT1,P36639;P36639-1;P36639-2;P36639-3,P36639;P36639-1;P36639-2;P36639-3
P36776;P36776-2,P36776;P36776-2;P36776-3,LONM_HUMAN,LONP1,"Lon protease homolog, mitochondrial",LONP1,P36776;P36776-2,P36776;P36776-2
P36871,P36871;P36871-2;P36871-3,PGM1_HUMAN,PGM1,Phosphoglucomutase-1,PGM1,P36871,P36871
P36873;P36873-2,P36873;P36873-2,PP1G_HUMAN,PPP1CC,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,PPP1CC,P36873;P36873-2,P36873;P36873-2
P36915,P36915;P36915-2,GNL1_HUMAN,GNL1,Guanine nucleotide-binding protein-like 1,GNL1,P36915,P36915
P36952,P36952;P36952-2,SPB5_HUMAN,SERPINB5,Serpin B5,SERPINB5,P36952,P36952
P36954,P36954,RPB9_HUMAN,POLR2I,DNA-directed RNA polymerase II subunit RPB9,POLR2I,P36954,P36954
P36955,P36955,PEDF_HUMAN,SERPINF1,Pigment epithelium-derived factor,SERPINF1,P36955,P36955
P36957,P36957;P36957-2,ODO2_HUMAN,DLST,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",DLST,P36957,P36957
P36969;P36969-2,P36969;P36969-2,GPX4_HUMAN,GPX4,Phospholipid hydroperoxide glutathione peroxidase,GPX4,P36969;P36969-2,P36969;P36969-2
P37108,P37108,SRP14_HUMAN,SRP14,Signal recognition particle 14 kDa protein,SRP14,P37108,P37108
P37198,P37198,NUP62_HUMAN,NUP62,Nuclear pore glycoprotein p62,NUP62,P37198,P37198
P37802,P37802;P37802-2,TAGL2_HUMAN,TAGLN2,Transgelin-2,TAGLN2,P37802,P37802
P37837,P37837;P37837-2,TALDO_HUMAN,TALDO1,Transaldolase,TALDO1,P37837,P37837
P37840;P37840-2,P37840;P37840-2;P37840-3,SYUA_HUMAN,SNCA,Alpha-synuclein,SNCA,P37840;P37840-2,P37840;P37840-2
P38117-2,P38117;P38117-2,ETFB_HUMAN,ETFB,Isoform 2 of Electron transfer flavoprotein subunit beta,ETFB,P38117-2,P38117-2
P38159,P38159;Q96E39;P38159-2,RBMX_HUMAN,RBMX,"RNA-binding motif protein, X chromosome",RBMX,P38159,P38159
P38435,P38435;P38435-2,VKGC_HUMAN,GGCX,Vitamin K-dependent gamma-carboxylase,GGCX,P38435,P38435
P38571;P38571-2,P38571;P38571-2,LICH_HUMAN,LIPA,Lysosomal acid lipase/cholesteryl ester hydrolase,LIPA,P38571;P38571-2,P38571;P38571-2
P38606,P38606;P38606-2,VATA_HUMAN,ATP6V1A,V-type proton ATPase catalytic subunit A,ATP6V1A,P38606,P38606
P38646,P38646,GRP75_HUMAN,HSPA9,"Stress-70 protein, mitochondrial",HSPA9,P38646,P38646
P38919,P38919,IF4A3_HUMAN,EIF4A3,Eukaryotic initiation factor 4A-III,EIF4A3,P38919,P38919
P38935,P38935,SMBP2_HUMAN,IGHMBP2,DNA-binding protein SMUBP-2,IGHMBP2,P38935,P38935
P39019,P39019,RS19_HUMAN,RPS19,40S ribosomal protein S19,RPS19,P39019,P39019
P39023,P39023,RL3_HUMAN,RPL3,60S ribosomal protein L3,RPL3,P39023,P39023
P39059,P39059,COFA1_HUMAN,COL15A1,Collagen alpha-1(XV) chain,COL15A1,P39059,P39059
P39060;P39060-1;P39060-2,P39060;P39060-1;P39060-2,COIA1_HUMAN,COL18A1,Collagen alpha-1(XVIII) chain,COL18A1,P39060;P39060-1;P39060-2,P39060;P39060-1;P39060-2
P39656;P39656-3,P39656;P39656-2;P39656-3,OST48_HUMAN,DDOST,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,DDOST,P39656;P39656-3,P39656;P39656-3
P39687,P39687;O43423,AN32A_HUMAN,ANP32A,Acidic leucine-rich nuclear phosphoprotein 32 family member A,ANP32A,P39687,P39687
P39748,P39748;P39748-2,FEN1_HUMAN,FEN1,Flap endonuclease 1,FEN1,P39748,P39748
P39880-3,P39880;P39880-2;P39880-3;P39880-4;P39880-5;P39880-6,CUX1_HUMAN,CUX1,Isoform 3 of Homeobox protein cut-like 1,CUX1,P39880-3,P39880-3
P40121;P40121-2,P40121;P40121-2,CAPG_HUMAN,CAPG,Macrophage-capping protein,CAPG,P40121;P40121-2,P40121;P40121-2
P40123,P40123;P40123-2,CAP2_HUMAN,CAP2,Adenylyl cyclase-associated protein 2,CAP2,P40123,P40123
P40189;P40189-3,P40189;P40189-3,IL6RB_HUMAN,IL6ST,Interleukin-6 receptor subunit beta,IL6ST,P40189;P40189-3,P40189;P40189-3
P40222,P40222,TXLNA_HUMAN,TXLNA,Alpha-taxilin,TXLNA,P40222,P40222
P40227,P40227;P40227-2,TCPZ_HUMAN,CCT6A,T-complex protein 1 subunit zeta,CCT6A,P40227,P40227
P40259;P40259-3,P40259;P40259-2;P40259-3,CD79B_HUMAN,CD79B,B-cell antigen receptor complex-associated protein beta chain,CD79B,P40259;P40259-3,P40259;P40259-3
